Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
15704307,"Saga, Vol. 1 (Saga, #1)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607066017""","=""9781607066019""",5,4.25,Image Comics,Paperback,160,2012,2012,,2016/10/16,"favorites, comic-books","favorites (#4), comic-books (#9)",read,,,,1,,,0,,,,,
528438,Lesbian Couples: A Guide to Creating Healthy Relationships,D. Merilee Clunis,"Clunis, D. Merilee",G. Dorsey Green,"=""1580051316""","=""9781580051316""",4,3.91,Seal Press,Paperback,368,2004,1988,,2016/10/16,nonfiction,nonfiction (#3),read,,,,1,,,0,,,,,
11832546,The Highest Frontier,Joan Slonczewski,"Slonczewski, Joan",,"=""1429984740""","=""9781429984744""",4,3.44,Tor Books,ebook,448,2011,2011,,2016/10/16,fiction,fiction (#5),read,,,,1,,,0,,,,,
465904,"Dragonsdawn (Pern, #9)",Anne McCaffrey,"McCaffrey, Anne",,"=""0893662135""","=""9780893662134""",5,4.17,Ultramarine Publishing Company,Hardcover,384,1988,1988,,2016/10/16,"favorites, fiction","favorites (#5), fiction (#6)",read,,,,1,,,0,,,,,
1183025,"Hatching Magic (Hatching Magic, #1)",Ann Downer-Hazell,"Downer-Hazell, Ann",,"=""1416924973""","=""9781416924975""",5,3.72,Aladdin Paperbacks,Paperback,242,2006,2003,,2016/10/16,ya,ya (#41),read,,,,1,,,0,,,,,
24137,"Catherine, Called Birdy",Karen Cushman,"Cushman, Karen",,"=""0060739428""","=""9780060739423""",4,3.70,HarperTrophy,Paperback,224,2004,1994,,2016/10/16,ya,ya (#42),read,,,,1,,,0,,,,,
24337,Ella Enchanted,Gail Carson Levine,"Levine, Gail Carson",,"=""0590920685""","=""9780590920681""",5,3.97,Scholastic Books,Paperback,232,1998,1997,,2016/10/16,"favorites, ya","favorites (#6), ya (#43)",read,,,,1,,,0,,,,,
72543,The Door in the Wall,Marguerite de Angeli,"Angeli, Marguerite de",,"=""0440227798""","=""9780440227793""",5,3.73,Laurel Leaf,Mass Market Paperback,128,1998,1949,,2016/10/16,"favorites, ya","favorites (#7), ya (#44)",read,,,,1,,,0,,,,,
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",5,4.12,Ember,,208,2006,1993,,2016/10/16,"favorites, ya","favorites (#8), ya (#45)",read,,,,1,,,0,,,,,
11306,The Dark Is Rising Sequence  (The Dark Is Rising #1-5),Susan Cooper,"Cooper, Susan",,"=""0020425651""","=""9780020425656""",5,4.29,Simon & Schuster,Paperback,1148,1986,1984,,2016/10/16,"favorites, ya","favorites (#9), ya (#46)",read,,,,1,,,0,,,,,
